==============================================
BraTS 2D Federated Learning
Job ID:       22487451
Node(s):      gpu-q-28
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.1)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 30
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Tue Feb 10 23:23:15 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:81:00.0 Off |                    0 |
| N/A   40C    P0             68W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.1) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   30
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.1
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.1862, epochs=30
  Round  33/50: Pooled Loss=0.3151, Pooled Mean=0.8028 (WT=0.8726 TC=0.7810 ET=0.7547) | C0 Mean=0.7579 | C1 Mean=0.7823 | C2 Mean=0.6704 | C3 Mean=0.7372 | C4 Mean=0.8463 | C5 Mean=0.5063 | C6 Mean=0.7716 | C7 Mean=0.4884 WorstC Mean=0.4884 [162.3s]
    Client 2: loss=0.0547, epochs=30
    Client 3: loss=0.0575, epochs=30
    Client 4: loss=0.0511, epochs=30
    Client 1: loss=0.0703, epochs=30
    Client 7: loss=0.3379, epochs=30
    Client 0: loss=0.0508, epochs=30
    Client 6: loss=0.0672, epochs=30
    Client 5: loss=0.0900, epochs=30
  Round  34/50: Pooled Loss=0.3163, Pooled Mean=0.8017 (WT=0.8698 TC=0.7770 ET=0.7584) | C0 Mean=0.7481 | C1 Mean=0.7819 | C2 Mean=0.6747 | C3 Mean=0.7429 | C4 Mean=0.8497 | C5 Mean=0.5056 | C6 Mean=0.7553 | C7 Mean=0.4867 WorstC Mean=0.4867 [163.4s]
    Client 7: loss=0.2206, epochs=30
    Client 3: loss=0.1111, epochs=30
    Client 0: loss=0.0499, epochs=30
    Client 4: loss=0.0500, epochs=30
    Client 5: loss=0.0956, epochs=30
    Client 1: loss=0.0645, epochs=30
    Client 6: loss=0.0656, epochs=30
    Client 2: loss=0.0502, epochs=30
  Round  35/50: Pooled Loss=0.3113, Pooled Mean=0.8060 (WT=0.8771 TC=0.7789 ET=0.7619) | C0 Mean=0.7671 | C1 Mean=0.7899 | C2 Mean=0.6884 | C3 Mean=0.7453 | C4 Mean=0.8520 | C5 Mean=0.5039 | C6 Mean=0.7762 | C7 Mean=0.4754 WorstC Mean=0.4754 [163.3s]
    Client 3: loss=0.0675, epochs=30
    Client 7: loss=0.2370, epochs=30
    Client 1: loss=0.1052, epochs=30
    Client 4: loss=0.0494, epochs=30
    Client 5: loss=0.0881, epochs=30
    Client 2: loss=0.0508, epochs=30
    Client 0: loss=0.0496, epochs=30
    Client 6: loss=0.0715, epochs=30
  Round  36/50: Pooled Loss=0.3217, Pooled Mean=0.8004 (WT=0.8717 TC=0.7770 ET=0.7525) | C0 Mean=0.7657 | C1 Mean=0.8011 | C2 Mean=0.6770 | C3 Mean=0.7311 | C4 Mean=0.8282 | C5 Mean=0.5135 | C6 Mean=0.7817 | C7 Mean=0.4926 WorstC Mean=0.4926 [163.3s]
    Client 1: loss=0.0654, epochs=30
    Client 2: loss=0.0512, epochs=30
    Client 3: loss=0.0559, epochs=30
    Client 5: loss=0.0894, epochs=30
    Client 6: loss=0.0666, epochs=30
    Client 7: loss=0.2471, epochs=30
    Client 4: loss=0.0507, epochs=30
    Client 0: loss=0.0500, epochs=30
  Round  37/50: Pooled Loss=0.3148, Pooled Mean=0.8052 (WT=0.8716 TC=0.7825 ET=0.7616) | C0 Mean=0.7633 | C1 Mean=0.7934 | C2 Mean=0.6721 | C3 Mean=0.7333 | C4 Mean=0.8511 | C5 Mean=0.5083 | C6 Mean=0.7574 | C7 Mean=0.4915 WorstC Mean=0.4915 [163.5s]
    Client 2: loss=0.0490, epochs=30
    Client 7: loss=0.2935, epochs=30
    Client 5: loss=0.0850, epochs=30
    Client 0: loss=0.0490, epochs=30
    Client 6: loss=0.0644, epochs=30
    Client 3: loss=0.0616, epochs=30
    Client 1: loss=0.0729, epochs=30
    Client 4: loss=0.0498, epochs=30
  Round  38/50: Pooled Loss=0.3120, Pooled Mean=0.8018 (WT=0.8690 TC=0.7735 ET=0.7630) | C0 Mean=0.7407 | C1 Mean=0.7827 | C2 Mean=0.6832 | C3 Mean=0.7449 | C4 Mean=0.8505 | C5 Mean=0.4998 | C6 Mean=0.7452 | C7 Mean=0.4868 WorstC Mean=0.4868 [165.4s]
    Client 6: loss=0.0665, epochs=30
    Client 3: loss=0.0767, epochs=30
    Client 0: loss=0.0477, epochs=30
    Client 7: loss=0.2204, epochs=30
    Client 5: loss=0.0859, epochs=30
    Client 2: loss=0.0524, epochs=30
    Client 1: loss=0.0648, epochs=30
    Client 4: loss=0.0483, epochs=30
  Round  39/50: Pooled Loss=0.3105, Pooled Mean=0.8102 (WT=0.8783 TC=0.7926 ET=0.7598) | C0 Mean=0.7657 | C1 Mean=0.7778 | C2 Mean=0.6336 | C3 Mean=0.7253 | C4 Mean=0.8402 | C5 Mean=0.5073 | C6 Mean=0.7508 | C7 Mean=0.4686 WorstC Mean=0.4686 [162.8s]
    Client 5: loss=0.0879, epochs=30
    Client 0: loss=0.0471, epochs=30
    Client 1: loss=0.0589, epochs=30
    Client 3: loss=0.0521, epochs=30
    Client 6: loss=0.0653, epochs=30
    Client 2: loss=0.0474, epochs=30
    Client 4: loss=0.0473, epochs=30
    Client 7: loss=0.2484, epochs=30
  Round  40/50: Pooled Loss=0.3165, Pooled Mean=0.7996 (WT=0.8716 TC=0.7788 ET=0.7484) | C0 Mean=0.7500 | C1 Mean=0.7795 | C2 Mean=0.6715 | C3 Mean=0.7330 | C4 Mean=0.8507 | C5 Mean=0.5030 | C6 Mean=0.7613 | C7 Mean=0.4925 WorstC Mean=0.4925 [162.6s]
    Client 4: loss=0.0483, epochs=30
    Client 1: loss=0.0624, epochs=30
    Client 3: loss=0.0550, epochs=30
    Client 0: loss=0.0469, epochs=30
    Client 5: loss=0.0835, epochs=30
    Client 6: loss=0.0663, epochs=30
    Client 7: loss=0.4944, epochs=30
    Client 2: loss=0.0482, epochs=30
  Round  41/50: Pooled Loss=0.3281, Pooled Mean=0.7950 (WT=0.8629 TC=0.7667 ET=0.7555) | C0 Mean=0.7386 | C1 Mean=0.7880 | C2 Mean=0.6903 | C3 Mean=0.7393 | C4 Mean=0.8487 | C5 Mean=0.4973 | C6 Mean=0.7629 | C7 Mean=0.4968 WorstC Mean=0.4968 [162.7s]
    Client 0: loss=0.0465, epochs=30
    Client 3: loss=0.0538, epochs=30
    Client 4: loss=0.0463, epochs=30
    Client 6: loss=0.0660, epochs=30
    Client 5: loss=0.0827, epochs=30
    Client 1: loss=0.0614, epochs=30
    Client 2: loss=0.0485, epochs=30
    Client 7: loss=0.3978, epochs=30
  Round  42/50: Pooled Loss=0.3097, Pooled Mean=0.8081 (WT=0.8740 TC=0.7872 ET=0.7630) | C0 Mean=0.7737 | C1 Mean=0.7918 | C2 Mean=0.6693 | C3 Mean=0.7399 | C4 Mean=0.8522 | C5 Mean=0.5089 | C6 Mean=0.7700 | C7 Mean=0.4989 WorstC Mean=0.4989 [163.1s]
    Client 1: loss=0.0585, epochs=30
    Client 4: loss=0.0465, epochs=30
    Client 6: loss=0.0629, epochs=30
    Client 7: loss=0.2042, epochs=30
    Client 2: loss=0.0464, epochs=30
    Client 5: loss=0.0827, epochs=30
    Client 0: loss=0.0475, epochs=30
    Client 3: loss=0.0538, epochs=30
  Round  43/50: Pooled Loss=0.3129, Pooled Mean=0.8066 (WT=0.8734 TC=0.7827 ET=0.7637) | C0 Mean=0.7559 | C1 Mean=0.7879 | C2 Mean=0.6768 | C3 Mean=0.7420 | C4 Mean=0.8553 | C5 Mean=0.5039 | C6 Mean=0.7631 | C7 Mean=0.4930 WorstC Mean=0.4930 [163.0s]
    Client 4: loss=0.0445, epochs=30
    Client 1: loss=0.0579, epochs=30
    Client 6: loss=0.0642, epochs=30
    Client 3: loss=0.0497, epochs=30
    Client 5: loss=0.0800, epochs=30
    Client 7: loss=0.2137, epochs=30
    Client 0: loss=0.0456, epochs=30
    Client 2: loss=0.0455, epochs=30
  Round  44/50: Pooled Loss=0.3139, Pooled Mean=0.8042 (WT=0.8750 TC=0.7791 ET=0.7586) | C0 Mean=0.7548 | C1 Mean=0.7873 | C2 Mean=0.6729 | C3 Mean=0.7413 | C4 Mean=0.8562 | C5 Mean=0.5062 | C6 Mean=0.7687 | C7 Mean=0.4960 WorstC Mean=0.4960 [162.8s]
    Client 7: loss=0.2137, epochs=30
    Client 1: loss=0.0553, epochs=30
    Client 5: loss=0.0830, epochs=30
    Client 4: loss=0.0452, epochs=30
    Client 0: loss=0.0494, epochs=30
    Client 6: loss=0.0633, epochs=30
    Client 2: loss=0.0467, epochs=30
    Client 3: loss=0.0541, epochs=30
  Round  45/50: Pooled Loss=0.3208, Pooled Mean=0.7972 (WT=0.8697 TC=0.7703 ET=0.7516) | C0 Mean=0.7427 | C1 Mean=0.7835 | C2 Mean=0.6796 | C3 Mean=0.7357 | C4 Mean=0.8518 | C5 Mean=0.4924 | C6 Mean=0.7470 | C7 Mean=0.4960 WorstC Mean=0.4924 [163.5s]
    Client 1: loss=0.0673, epochs=30
    Client 7: loss=0.1999, epochs=30
    Client 4: loss=0.0453, epochs=30
    Client 0: loss=0.0456, epochs=30
    Client 2: loss=0.0450, epochs=30
    Client 6: loss=0.0634, epochs=30
    Client 3: loss=0.0497, epochs=30
    Client 5: loss=0.0792, epochs=30
  Round  46/50: Pooled Loss=0.3180, Pooled Mean=0.8026 (WT=0.8722 TC=0.7771 ET=0.7584) | C0 Mean=0.7538 | C1 Mean=0.7884 | C2 Mean=0.6785 | C3 Mean=0.7344 | C4 Mean=0.8533 | C5 Mean=0.5052 | C6 Mean=0.7631 | C7 Mean=0.4921 WorstC Mean=0.4921 [163.2s]
    Client 2: loss=0.0466, epochs=30
    Client 4: loss=0.0442, epochs=30
    Client 7: loss=0.2369, epochs=30
    Client 6: loss=0.0628, epochs=30
    Client 1: loss=0.0570, epochs=30
    Client 3: loss=0.0491, epochs=30
    Client 5: loss=0.0767, epochs=30
    Client 0: loss=0.0443, epochs=30
  Round  47/50: Pooled Loss=0.3189, Pooled Mean=0.8006 (WT=0.8726 TC=0.7771 ET=0.7522) | C0 Mean=0.7503 | C1 Mean=0.7861 | C2 Mean=0.6787 | C3 Mean=0.7359 | C4 Mean=0.8512 | C5 Mean=0.5019 | C6 Mean=0.7686 | C7 Mean=0.4942 WorstC Mean=0.4942 [163.4s]
    Client 6: loss=0.0624, epochs=30
    Client 5: loss=0.0774, epochs=30
    Client 1: loss=0.0572, epochs=30
    Client 0: loss=0.0445, epochs=30
    Client 2: loss=0.0472, epochs=30
    Client 4: loss=0.0441, epochs=30
    Client 7: loss=0.2101, epochs=30
    Client 3: loss=0.0578, epochs=30
  Round  48/50: Pooled Loss=0.3335, Pooled Mean=0.7899 (WT=0.8649 TC=0.7642 ET=0.7407) | C0 Mean=0.7403 | C1 Mean=0.7834 | C2 Mean=0.6939 | C3 Mean=0.7327 | C4 Mean=0.8439 | C5 Mean=0.5051 | C6 Mean=0.7670 | C7 Mean=0.4888 WorstC Mean=0.4888 [162.9s]
    Client 1: loss=0.0564, epochs=30
    Client 4: loss=0.0440, epochs=30
    Client 7: loss=0.3711, epochs=30
    Client 6: loss=0.0610, epochs=30
    Client 0: loss=0.0440, epochs=30
    Client 5: loss=0.0775, epochs=30
    Client 3: loss=0.0863, epochs=30
    Client 2: loss=0.0469, epochs=30
  Round  49/50: Pooled Loss=0.3206, Pooled Mean=0.8031 (WT=0.8692 TC=0.7794 ET=0.7607) | C0 Mean=0.7565 | C1 Mean=0.7945 | C2 Mean=0.6805 | C3 Mean=0.7400 | C4 Mean=0.8552 | C5 Mean=0.5074 | C6 Mean=0.7746 | C7 Mean=0.4997 WorstC Mean=0.4997 [166.0s]
    Client 1: loss=0.0614, epochs=30
    Client 7: loss=0.1881, epochs=30
    Client 5: loss=0.0790, epochs=30
    Client 6: loss=0.0620, epochs=30
    Client 3: loss=0.0490, epochs=30
    Client 0: loss=0.0432, epochs=30
    Client 4: loss=0.0427, epochs=30
    Client 2: loss=0.0466, epochs=30
  Round  50/50: Pooled Loss=0.3209, Pooled Mean=0.8011 (WT=0.8718 TC=0.7814 ET=0.7501) | C0 Mean=0.7575 | C1 Mean=0.7851 | C2 Mean=0.6710 | C3 Mean=0.7372 | C4 Mean=0.8511 | C5 Mean=0.5099 | C6 Mean=0.7709 | C7 Mean=0.4976 WorstC Mean=0.4976 [163.4s]

============================================================
RESULTS SUMMARY
============================================================
Strategy:            FEDPROX (mu=0.1)
Global MeanPresent:  0.8011 (best=0.8119)
Global WT:           0.8718
Global TC:           0.7814
Global ET:           0.7501
Worst-client Mean:   0.4976
Client 0 MeanPresent: 0.7575 (best=0.7982)
Client 1 MeanPresent: 0.7851 (best=0.8011)
Client 2 MeanPresent: 0.6710 (best=0.6939)
Client 3 MeanPresent: 0.7372 (best=0.7469)
Client 4 MeanPresent: 0.8511 (best=0.8562)
Client 5 MeanPresent: 0.5099 (best=0.5207)
Client 6 MeanPresent: 0.7709 (best=0.8000)
Client 7 MeanPresent: 0.4976 (best=0.4997)
Convergence 50%:     round 1
Convergence 60%:     round 1
Convergence 70%:     round 2
Total Time:          8253.82s (137.6min)
============================================================

Results saved to: /home/bk489/federated/federated-thesis/results/brats/fedprox_brats_r50_mu0.1_20260211_014051_results.json

>>> FEDPROX done.

All done. Results in: /home/bk489/federated/federated-thesis/results/brats
