==============================================
BraTS 2D Federated Learning
Job ID:       22491847
Node(s):      gpu-q-16
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.4)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 30
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Wed Feb 11 00:54:38 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:01:00.0 Off |                    0 |
| N/A   39C    P0             64W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.4) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   30
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.4
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.3526, epochs=30
  Round  33/50: Pooled Loss=0.3050, Pooled Mean=0.8153 (WT=0.8652 TC=0.7780 ET=0.8026) | C0 Mean=0.8178 | C1 Mean=0.7915 | C2 Mean=0.7120 | C3 Mean=0.7967 | C4 Mean=0.8537 | C5 Mean=0.5498 | C6 Mean=0.8058 | C7 Mean=0.5661 WorstC Mean=0.5498 [163.8s]
    Client 2: loss=0.0941, epochs=30
    Client 3: loss=0.0932, epochs=30
    Client 4: loss=0.1033, epochs=30
    Client 1: loss=0.1396, epochs=30
    Client 7: loss=0.3603, epochs=30
    Client 0: loss=0.0805, epochs=30
    Client 6: loss=0.0896, epochs=30
    Client 5: loss=0.2069, epochs=30
  Round  34/50: Pooled Loss=0.3092, Pooled Mean=0.8094 (WT=0.8672 TC=0.7729 ET=0.7881) | C0 Mean=0.8138 | C1 Mean=0.7855 | C2 Mean=0.7291 | C3 Mean=0.8000 | C4 Mean=0.8540 | C5 Mean=0.5492 | C6 Mean=0.8021 | C7 Mean=0.5674 WorstC Mean=0.5492 [164.5s]
    Client 7: loss=0.3513, epochs=30
    Client 3: loss=0.0947, epochs=30
    Client 0: loss=0.0800, epochs=30
    Client 4: loss=0.0996, epochs=30
    Client 5: loss=0.2048, epochs=30
    Client 1: loss=0.1376, epochs=30
    Client 6: loss=0.0886, epochs=30
    Client 2: loss=0.0920, epochs=30
  Round  35/50: Pooled Loss=0.3144, Pooled Mean=0.8060 (WT=0.8608 TC=0.7690 ET=0.7881) | C0 Mean=0.7984 | C1 Mean=0.7843 | C2 Mean=0.7189 | C3 Mean=0.7969 | C4 Mean=0.8553 | C5 Mean=0.5460 | C6 Mean=0.7994 | C7 Mean=0.5711 WorstC Mean=0.5460 [164.3s]
    Client 3: loss=0.0967, epochs=30
    Client 7: loss=0.3680, epochs=30
    Client 1: loss=0.1362, epochs=30
    Client 4: loss=0.0980, epochs=30
    Client 5: loss=0.2006, epochs=30
    Client 2: loss=0.0872, epochs=30
    Client 0: loss=0.0777, epochs=30
    Client 6: loss=0.0894, epochs=30
  Round  36/50: Pooled Loss=0.3113, Pooled Mean=0.8074 (WT=0.8661 TC=0.7739 ET=0.7821) | C0 Mean=0.8069 | C1 Mean=0.7805 | C2 Mean=0.7123 | C3 Mean=0.7980 | C4 Mean=0.8543 | C5 Mean=0.5542 | C6 Mean=0.8022 | C7 Mean=0.5828 WorstC Mean=0.5542 [164.5s]
    Client 1: loss=0.1334, epochs=30
    Client 2: loss=0.0890, epochs=30
    Client 3: loss=0.0922, epochs=30
    Client 5: loss=0.1983, epochs=30
    Client 6: loss=0.0860, epochs=30
    Client 7: loss=0.4371, epochs=30
    Client 4: loss=0.0963, epochs=30
    Client 0: loss=0.0773, epochs=30
  Round  37/50: Pooled Loss=0.3110, Pooled Mean=0.8077 (WT=0.8644 TC=0.7701 ET=0.7886) | C0 Mean=0.7989 | C1 Mean=0.7862 | C2 Mean=0.7337 | C3 Mean=0.7925 | C4 Mean=0.8594 | C5 Mean=0.5428 | C6 Mean=0.8034 | C7 Mean=0.5833 WorstC Mean=0.5428 [164.3s]
    Client 2: loss=0.0923, epochs=30
    Client 7: loss=0.3325, epochs=30
    Client 5: loss=0.1902, epochs=30
    Client 0: loss=0.0772, epochs=30
    Client 6: loss=0.0858, epochs=30
    Client 3: loss=0.0926, epochs=30
    Client 1: loss=0.1301, epochs=30
    Client 4: loss=0.0946, epochs=30
  Round  38/50: Pooled Loss=0.3172, Pooled Mean=0.8002 (WT=0.8623 TC=0.7710 ET=0.7675) | C0 Mean=0.7929 | C1 Mean=0.7696 | C2 Mean=0.7182 | C3 Mean=0.7856 | C4 Mean=0.8514 | C5 Mean=0.5256 | C6 Mean=0.8093 | C7 Mean=0.5851 WorstC Mean=0.5256 [166.2s]
    Client 6: loss=0.0872, epochs=30
    Client 3: loss=0.0925, epochs=30
    Client 0: loss=0.0750, epochs=30
    Client 7: loss=0.4331, epochs=30
    Client 5: loss=0.1846, epochs=30
    Client 2: loss=0.0881, epochs=30
    Client 1: loss=0.1380, epochs=30
    Client 4: loss=0.0917, epochs=30
  Round  39/50: Pooled Loss=0.3077, Pooled Mean=0.8117 (WT=0.8643 TC=0.7756 ET=0.7953) | C0 Mean=0.7987 | C1 Mean=0.7911 | C2 Mean=0.7353 | C3 Mean=0.7957 | C4 Mean=0.8548 | C5 Mean=0.5507 | C6 Mean=0.8116 | C7 Mean=0.5800 WorstC Mean=0.5507 [165.5s]
    Client 5: loss=0.1858, epochs=30
    Client 0: loss=0.0755, epochs=30
    Client 1: loss=0.1285, epochs=30
    Client 3: loss=0.0859, epochs=30
    Client 6: loss=0.0857, epochs=30
    Client 2: loss=0.0820, epochs=30
    Client 4: loss=0.0908, epochs=30
    Client 7: loss=0.3370, epochs=30
  Round  40/50: Pooled Loss=0.3210, Pooled Mean=0.7976 (WT=0.8625 TC=0.7672 ET=0.7631) | C0 Mean=0.7937 | C1 Mean=0.7645 | C2 Mean=0.7139 | C3 Mean=0.7846 | C4 Mean=0.8501 | C5 Mean=0.5279 | C6 Mean=0.8000 | C7 Mean=0.5897 WorstC Mean=0.5279 [163.9s]
    Client 4: loss=0.0900, epochs=30
    Client 1: loss=0.1267, epochs=30
    Client 3: loss=0.0886, epochs=30
    Client 0: loss=0.0731, epochs=30
    Client 5: loss=0.1766, epochs=30
    Client 6: loss=0.0878, epochs=30
    Client 7: loss=0.3767, epochs=30
    Client 2: loss=0.0830, epochs=30
  Round  41/50: Pooled Loss=0.3046, Pooled Mean=0.8137 (WT=0.8697 TC=0.7762 ET=0.7951) | C0 Mean=0.8196 | C1 Mean=0.7912 | C2 Mean=0.7262 | C3 Mean=0.7877 | C4 Mean=0.8575 | C5 Mean=0.5676 | C6 Mean=0.8077 | C7 Mean=0.5753 WorstC Mean=0.5676 [163.7s]
    Client 0: loss=0.0726, epochs=30
    Client 3: loss=0.0900, epochs=30
    Client 4: loss=0.0863, epochs=30
    Client 6: loss=0.0867, epochs=30
    Client 5: loss=0.1754, epochs=30
    Client 1: loss=0.1161, epochs=30
    Client 2: loss=0.0815, epochs=30
    Client 7: loss=0.3447, epochs=30
  Round  42/50: Pooled Loss=0.3112, Pooled Mean=0.8076 (WT=0.8641 TC=0.7735 ET=0.7850) | C0 Mean=0.8020 | C1 Mean=0.7858 | C2 Mean=0.7231 | C3 Mean=0.7921 | C4 Mean=0.8588 | C5 Mean=0.5529 | C6 Mean=0.8087 | C7 Mean=0.5966 WorstC Mean=0.5529 [163.5s]
    Client 1: loss=0.1234, epochs=30
    Client 4: loss=0.0870, epochs=30
    Client 6: loss=0.0827, epochs=30
    Client 7: loss=0.3135, epochs=30
    Client 2: loss=0.0799, epochs=30
    Client 5: loss=0.1829, epochs=30
    Client 0: loss=0.0759, epochs=30
    Client 3: loss=0.0947, epochs=30
  Round  43/50: Pooled Loss=0.3105, Pooled Mean=0.8086 (WT=0.8652 TC=0.7729 ET=0.7877) | C0 Mean=0.8097 | C1 Mean=0.7872 | C2 Mean=0.7219 | C3 Mean=0.7903 | C4 Mean=0.8619 | C5 Mean=0.5633 | C6 Mean=0.8018 | C7 Mean=0.5923 WorstC Mean=0.5633 [163.8s]
    Client 4: loss=0.0843, epochs=30
    Client 1: loss=0.1229, epochs=30
    Client 6: loss=0.0842, epochs=30
    Client 3: loss=0.0871, epochs=30
    Client 5: loss=0.1638, epochs=30
    Client 7: loss=0.3708, epochs=30
    Client 0: loss=0.0724, epochs=30
    Client 2: loss=0.0783, epochs=30
  Round  44/50: Pooled Loss=0.3196, Pooled Mean=0.7971 (WT=0.8630 TC=0.7688 ET=0.7593) | C0 Mean=0.7869 | C1 Mean=0.7589 | C2 Mean=0.7147 | C3 Mean=0.7773 | C4 Mean=0.8531 | C5 Mean=0.5421 | C6 Mean=0.8055 | C7 Mean=0.5938 WorstC Mean=0.5421 [164.3s]
    Client 7: loss=0.3592, epochs=30
    Client 1: loss=0.1138, epochs=30
    Client 5: loss=0.1677, epochs=30
    Client 4: loss=0.0849, epochs=30
    Client 0: loss=0.0714, epochs=30
    Client 6: loss=0.0844, epochs=30
    Client 2: loss=0.0779, epochs=30
    Client 3: loss=0.0941, epochs=30
  Round  45/50: Pooled Loss=0.3126, Pooled Mean=0.8078 (WT=0.8597 TC=0.7739 ET=0.7897) | C0 Mean=0.7968 | C1 Mean=0.7813 | C2 Mean=0.7072 | C3 Mean=0.7956 | C4 Mean=0.8609 | C5 Mean=0.5389 | C6 Mean=0.7941 | C7 Mean=0.5991 WorstC Mean=0.5389 [163.9s]
    Client 1: loss=0.1259, epochs=30
    Client 7: loss=0.2946, epochs=30
    Client 4: loss=0.0849, epochs=30
    Client 0: loss=0.0719, epochs=30
    Client 2: loss=0.0805, epochs=30
    Client 6: loss=0.0847, epochs=30
    Client 3: loss=0.0821, epochs=30
    Client 5: loss=0.1682, epochs=30
  Round  46/50: Pooled Loss=0.3079, Pooled Mean=0.8116 (WT=0.8704 TC=0.7757 ET=0.7886) | C0 Mean=0.8121 | C1 Mean=0.7801 | C2 Mean=0.7245 | C3 Mean=0.7894 | C4 Mean=0.8568 | C5 Mean=0.5607 | C6 Mean=0.8029 | C7 Mean=0.5789 WorstC Mean=0.5607 [164.0s]
    Client 2: loss=0.0751, epochs=30
    Client 4: loss=0.0824, epochs=30
    Client 7: loss=0.3599, epochs=30
    Client 6: loss=0.0815, epochs=30
    Client 1: loss=0.1099, epochs=30
    Client 3: loss=0.0821, epochs=30
    Client 5: loss=0.1605, epochs=30
    Client 0: loss=0.0693, epochs=30
  Round  47/50: Pooled Loss=0.3115, Pooled Mean=0.8101 (WT=0.8633 TC=0.7719 ET=0.7951) | C0 Mean=0.7987 | C1 Mean=0.7884 | C2 Mean=0.7359 | C3 Mean=0.7921 | C4 Mean=0.8628 | C5 Mean=0.5607 | C6 Mean=0.7947 | C7 Mean=0.5914 WorstC Mean=0.5607 [164.6s]
    Client 6: loss=0.0826, epochs=30
    Client 5: loss=0.1534, epochs=30
    Client 1: loss=0.1210, epochs=30
    Client 0: loss=0.0697, epochs=30
    Client 2: loss=0.0786, epochs=30
    Client 4: loss=0.0818, epochs=30
    Client 7: loss=0.3171, epochs=30
    Client 3: loss=0.0852, epochs=30
  Round  48/50: Pooled Loss=0.3133, Pooled Mean=0.8073 (WT=0.8658 TC=0.7731 ET=0.7829) | C0 Mean=0.7978 | C1 Mean=0.7833 | C2 Mean=0.7264 | C3 Mean=0.7878 | C4 Mean=0.8575 | C5 Mean=0.5536 | C6 Mean=0.8062 | C7 Mean=0.5915 WorstC Mean=0.5536 [162.7s]
    Client 1: loss=0.1086, epochs=30
    Client 4: loss=0.0794, epochs=30
    Client 7: loss=0.3250, epochs=30
    Client 6: loss=0.0796, epochs=30
    Client 0: loss=0.0678, epochs=30
    Client 5: loss=0.1517, epochs=30
    Client 3: loss=0.0884, epochs=30
    Client 2: loss=0.0742, epochs=30
  Round  49/50: Pooled Loss=0.3142, Pooled Mean=0.8052 (WT=0.8649 TC=0.7720 ET=0.7786) | C0 Mean=0.8049 | C1 Mean=0.7779 | C2 Mean=0.7127 | C3 Mean=0.7877 | C4 Mean=0.8597 | C5 Mean=0.5564 | C6 Mean=0.8062 | C7 Mean=0.5979 WorstC Mean=0.5564 [166.7s]
    Client 1: loss=0.1084, epochs=30
    Client 7: loss=0.2975, epochs=30
    Client 5: loss=0.1521, epochs=30
    Client 6: loss=0.0808, epochs=30
    Client 3: loss=0.0819, epochs=30
    Client 0: loss=0.0678, epochs=30
    Client 4: loss=0.0785, epochs=30
    Client 2: loss=0.0792, epochs=30
  Round  50/50: Pooled Loss=0.3342, Pooled Mean=0.7818 (WT=0.8680 TC=0.7581 ET=0.7195) | C0 Mean=0.7741 | C1 Mean=0.7335 | C2 Mean=0.6846 | C3 Mean=0.7521 | C4 Mean=0.8390 | C5 Mean=0.5115 | C6 Mean=0.7925 | C7 Mean=0.5707 WorstC Mean=0.5115 [163.7s]

============================================================
RESULTS SUMMARY
============================================================
Strategy:            FEDPROX (mu=0.4)
Global MeanPresent:  0.7818 (best=0.8208)
Global WT:           0.8680
Global TC:           0.7581
Global ET:           0.7195
Worst-client Mean:   0.5115
Client 0 MeanPresent: 0.7741 (best=0.8431)
Client 1 MeanPresent: 0.7335 (best=0.7953)
Client 2 MeanPresent: 0.6846 (best=0.7367)
Client 3 MeanPresent: 0.7521 (best=0.8081)
Client 4 MeanPresent: 0.8390 (best=0.8628)
Client 5 MeanPresent: 0.5115 (best=0.5676)
Client 6 MeanPresent: 0.7925 (best=0.8180)
Client 7 MeanPresent: 0.5707 (best=0.5991)
Convergence 50%:     round 2
Convergence 60%:     round 2
Convergence 70%:     round 7
Total Time:          8222.34s (137.0min)
============================================================

Results saved to: /home/bk489/federated/federated-thesis/results/brats/fedprox_brats_r50_mu0.4_20260211_031142_results.json

>>> FEDPROX done.

All done. Results in: /home/bk489/federated/federated-thesis/results/brats
